iter	Passed	Remaining
0	59	59003
1	59	29589
2	59	19779
3	59	14869
4	59	11923
5	60	9958
6	60	8554
7	60	7501
8	60	6684
9	60	6027
10	61	5490
11	61	5044
12	61	4671
13	61	4349
14	61	4068
15	62	3821
16	62	3604
17	62	3411
18	62	3238
19	62	3082
20	63	2940
21	63	2812
22	63	2695
23	63	2590
24	63	2493
25	64	2402
26	64	2318
27	64	2240
28	64	2166
29	64	2099
30	65	2035
31	65	1976
32	65	1920
33	65	1867
34	66	1820
35	66	1772
36	66	1728
37	66	1686
38	66	1645
39	66	1607
40	67	1573
41	67	1539
42	67	1506
43	67	1475
44	68	1445
45	68	1419
46	68	1395
47	69	1369
48	69	1343
49	69	1319
50	69	1295
51	69	1273
52	70	1251
53	70	1230
54	70	1210
55	70	1191
56	70	1172
57	71	1153
58	71	1136
59	71	1119
60	71	1102
61	71	1086
62	72	1071
63	72	1056
64	72	1041
65	72	1027
66	72	1014
67	72	999
68	73	986
69	73	974
70	73	961
71	73	949
72	73	939
73	74	928
74	74	917
75	74	906
76	74	896
77	74	886
78	75	876
79	75	867
80	75	857
81	75	848
82	76	840
83	76	831
84	76	822
85	76	813
86	76	804
87	76	796
88	77	788
89	77	781
90	77	774
91	77	767
92	77	760
93	78	753
94	78	747
95	78	740
96	78	733
97	79	727
98	79	720
99	79	714
100	79	708
101	79	701
102	79	696
103	80	690
104	80	685
105	80	679
106	80	674
107	81	669
108	81	663
109	81	658
110	81	653
111	81	648
112	82	644
113	82	640
114	82	635
115	82	630
116	83	627
117	83	623
118	83	618
119	83	615
120	84	611
121	84	607
122	84	602
123	84	597
124	84	594
125	85	589
126	85	586
127	85	581
128	85	577
129	85	573
130	85	570
131	86	566
132	86	563
133	86	559
134	86	556
135	87	552
136	87	549
137	87	545
138	87	542
139	87	539
140	88	536
141	88	533
142	88	530
143	88	527
144	88	524
145	89	521
146	89	518
147	89	515
148	89	512
149	89	509
150	90	506
151	90	503
152	90	501
153	90	498
154	90	495
155	91	492
156	91	490
157	91	487
158	91	485
159	92	483
160	92	481
161	92	478
162	92	476
163	92	473
164	93	471
165	93	469
166	93	466
167	93	464
168	93	462
169	94	459
170	94	457
171	94	455
172	94	453
173	94	450
174	95	448
175	95	446
176	95	444
177	95	442
178	95	440
179	96	438
180	96	435
181	96	433
182	96	431
183	96	429
184	97	427
185	97	426
186	97	424
187	97	422
188	97	420
189	98	418
190	98	416
191	98	415
192	98	413
193	99	411
194	99	409
195	99	407
196	99	406
197	99	404
198	100	402
199	100	400
200	100	399
201	100	397
202	100	396
203	101	394
204	101	392
205	101	391
206	101	389
207	101	388
208	102	386
209	102	384
210	102	383
211	102	381
212	102	380
213	103	378
214	103	377
215	103	375
216	103	374
217	103	372
218	104	371
219	104	369
220	104	368
221	104	366
222	104	365
223	105	364
224	105	362
225	105	361
226	105	360
227	105	358
228	106	357
229	106	356
230	106	354
231	106	353
232	106	352
233	107	350
234	107	349
235	107	348
236	107	347
237	108	346
238	108	344
239	108	343
240	108	342
241	108	340
242	109	339
243	109	338
244	109	337
245	109	336
246	110	335
247	110	334
248	110	333
249	110	331
250	110	330
251	111	329
252	111	328
253	111	327
254	111	326
255	111	325
256	112	323
257	112	322
258	112	321
259	112	320
260	112	319
261	113	318
262	113	317
263	113	316
264	113	315
265	114	314
266	114	313
267	114	312
268	114	312
269	115	311
270	115	310
271	115	309
272	115	308
273	115	307
274	116	306
275	116	305
276	116	304
277	116	303
278	116	302
279	117	301
280	117	300
281	117	299
282	117	298
283	117	297
284	118	296
285	118	295
286	118	294
287	118	293
288	118	292
289	119	291
290	119	290
291	119	289
292	119	289
293	120	288
294	120	287
295	120	286
296	120	285
297	120	284
298	121	283
299	121	282
300	121	282
301	121	281
302	121	280
303	122	279
304	122	278
305	122	278
306	122	277
307	122	276
308	123	275
309	123	274
310	123	273
311	123	273
312	124	272
313	124	271
314	124	270
315	124	269
316	124	268
317	125	268
318	125	267
319	125	266
320	125	265
321	125	264
322	125	263
323	126	263
324	126	262
325	126	261
326	126	260
327	126	259
328	127	259
329	127	258
330	127	257
331	127	257
332	128	256
333	128	255
334	128	255
335	128	254
336	129	253
337	129	253
338	129	252
339	129	251
340	129	251
341	130	250
342	130	249
343	130	248
344	130	248
345	130	247
346	131	246
347	131	246
348	131	245
349	131	244
350	131	243
351	132	243
352	132	242
353	132	242
354	132	241
355	132	240
356	133	239
357	133	239
358	133	238
359	133	238
360	134	237
361	134	236
362	134	236
363	134	235
364	134	234
365	135	234
366	135	233
367	135	232
368	135	232
369	135	231
370	136	230
371	136	230
372	136	229
373	136	228
374	136	228
375	137	227
376	137	227
377	137	226
378	137	225
379	138	225
380	138	224
381	138	223
382	138	223
383	138	222
384	139	222
385	139	221
386	139	220
387	139	220
388	139	219
389	139	218
390	140	218
391	140	217
392	140	217
393	140	216
394	140	215
395	141	215
396	141	214
397	141	214
398	141	213
399	142	213
400	142	212
401	142	211
402	142	211
403	142	210
404	143	210
405	143	209
406	143	209
407	143	208
408	143	207
409	144	207
410	144	206
411	144	206
412	144	205
413	145	205
414	145	204
415	145	204
416	145	203
417	145	203
418	146	202
419	146	202
420	146	201
421	146	201
422	146	200
423	147	199
424	147	199
425	147	198
426	147	198
427	147	197
428	148	197
429	148	196
430	148	196
431	148	195
432	148	195
433	149	194
434	149	194
435	149	193
436	149	192
437	149	192
438	150	191
439	150	191
440	150	190
441	150	190
442	150	189
443	151	189
444	151	188
445	151	188
446	151	187
447	151	187
448	152	186
449	152	186
450	152	185
451	152	185
452	152	184
453	153	184
454	153	183
455	153	183
456	153	182
457	153	182
458	154	181
459	154	181
460	154	180
461	154	180
462	154	179
463	155	179
464	155	178
465	155	178
466	155	177
467	156	177
468	156	176
469	156	176
470	156	175
471	156	175
472	157	174
473	157	174
474	157	173
475	157	173
476	157	173
477	158	172
478	158	172
479	158	171
480	158	171
481	158	170
482	159	170
483	159	169
484	159	169
485	159	169
486	160	168
487	160	168
488	160	167
489	160	167
490	160	166
491	161	166
492	161	165
493	161	165
494	161	164
495	161	164
496	162	164
497	162	163
498	162	163
499	162	162
500	162	162
501	163	161
502	163	161
503	163	160
504	163	160
505	163	159
506	164	159
507	164	159
508	164	158
509	164	158
510	164	157
511	165	157
512	165	156
513	165	156
514	165	156
515	165	155
516	166	155
517	166	154
518	166	154
519	166	153
520	166	153
521	167	153
522	167	152
523	167	152
524	167	151
525	167	151
526	168	150
527	168	150
528	168	150
529	168	149
530	168	149
531	169	148
532	169	148
533	169	147
534	169	147
535	169	147
536	170	146
537	170	146
538	170	145
539	170	145
540	170	145
541	171	144
542	171	144
543	171	143
544	171	143
545	171	142
546	172	142
547	172	142
548	172	141
549	172	141
550	172	140
551	173	140
552	173	140
553	173	139
554	173	139
555	173	138
556	174	139
557	175	138
558	175	138
559	175	137
560	175	137
561	175	137
562	176	136
563	176	136
564	176	135
565	176	135
566	176	135
567	177	134
568	177	134
569	177	133
570	177	133
571	177	133
572	178	132
573	178	132
574	178	131
575	178	131
576	178	131
577	179	130
578	179	130
579	179	130
580	179	129
581	179	129
582	180	128
583	180	128
584	180	128
585	180	127
586	180	127
587	181	126
588	181	126
589	181	126
590	181	125
591	181	125
592	182	125
593	182	124
594	182	124
595	182	123
596	183	123
597	183	123
598	183	122
599	183	122
600	183	122
601	183	121
602	184	121
603	184	120
604	184	120
605	185	120
606	185	120
607	186	119
608	186	119
609	186	119
610	186	118
611	186	118
612	187	118
613	187	117
614	187	117
615	187	116
616	187	116
617	188	116
618	188	115
619	188	115
620	188	115
621	188	114
622	189	114
623	189	114
624	189	113
625	189	113
626	189	112
627	190	112
628	190	112
629	190	111
630	190	111
631	191	111
632	191	110
633	191	110
634	191	110
635	192	109
636	192	109
637	192	109
638	192	108
639	192	108
640	193	108
641	194	108
642	194	107
643	194	107
644	194	107
645	194	106
646	195	106
647	195	106
648	195	105
649	195	105
650	195	104
651	196	104
652	196	104
653	196	103
654	196	103
655	197	103
656	197	102
657	197	102
658	197	102
659	197	101
660	198	101
661	198	101
662	198	100
663	198	100
664	198	100
665	199	99
666	199	99
667	199	99
668	199	98
669	199	98
670	200	98
671	200	97
672	200	97
673	200	97
674	200	96
675	201	96
676	201	96
677	201	95
678	201	95
679	201	95
680	202	94
681	202	94
682	202	93
683	202	93
