iter	Passed	Remaining
0	60	60366
1	60	30271
2	60	20236
3	61	15222
4	61	12210
5	61	10253
6	62	8816
7	62	7743
8	62	6907
9	62	6234
10	63	5681
11	63	5219
12	63	4829
13	63	4494
14	64	4204
15	64	3951
16	64	3727
17	64	3527
18	64	3350
19	65	3189
20	65	3044
21	65	2912
22	65	2792
23	65	2681
24	66	2580
25	66	2486
26	66	2400
27	66	2319
28	67	2244
29	67	2173
30	67	2107
31	67	2046
32	67	1988
33	68	1934
34	68	1882
35	68	1833
36	68	1789
37	69	1747
38	69	1705
39	69	1666
40	69	1629
41	69	1593
42	70	1559
43	70	1527
44	70	1496
45	70	1466
46	70	1438
47	71	1410
48	71	1384
49	71	1359
50	71	1335
51	71	1311
52	72	1289
53	72	1267
54	72	1246
55	72	1226
56	72	1206
57	73	1188
58	73	1170
59	73	1152
60	73	1135
61	74	1119
62	74	1103
63	74	1089
64	74	1075
65	74	1061
66	75	1047
67	75	1034
68	75	1023
69	76	1011
70	76	1002
71	76	990
72	77	978
73	77	966
74	77	955
75	77	944
76	77	932
77	78	922
78	78	911
79	78	901
80	78	891
81	78	881
82	78	871
83	79	862
84	79	853
85	79	844
86	79	835
87	79	827
88	80	819
89	80	811
90	80	803
91	80	795
92	80	787
93	80	780
94	81	773
95	81	766
96	81	759
97	81	752
98	82	746
99	82	740
100	82	734
101	82	728
102	82	722
103	83	716
104	83	710
105	83	704
106	83	699
107	83	693
108	84	687
109	84	682
110	84	677
111	84	671
112	84	667
113	85	662
114	85	657
115	85	652
116	85	646
117	85	642
118	86	637
119	86	633
120	86	628
121	86	623
122	86	619
123	87	615
124	87	611
125	87	607
126	87	602
127	87	598
128	88	594
129	88	590
130	88	586
131	88	583
132	88	579
133	89	576
134	89	572
135	89	568
136	89	565
137	89	562
138	90	558
139	90	555
140	90	551
141	90	547
142	90	544
143	91	541
144	91	538
145	91	535
146	91	532
147	91	529
148	92	526
149	92	524
150	92	521
151	92	518
152	93	515
153	93	512
154	93	509
